iter	Passed	Remaining
191	19654	185084
192	19742	184840
193	19844	184742
194	19939	184566
195	20048	184529
196	20138	184316
197	20248	184278
198	20373	184382
199	20476	184289
200	20582	184214
201	20669	183983
202	20743	183625
203	20862	183672
204	20976	183670
205	21070	183494
206	21182	183481
207	21266	183218
208	21372	183151
209	21489	183171
210	21587	183036
211	21720	183190
212	21829	183145
213	21936	183074
214	22018	182808
215	22105	182577
216	22216	182541
217	22309	182368
218	22427	182393
219	22533	182317
220	22643	182277
221	22762	182304
222	22868	182231
223	22979	182191
224	23076	182051
225	23183	181981
226	23288	181893
227	23373	181659
228	23479	181584
229	23593	181569
230	23708	181561
231	23823	181547
232	23940	181555
233	24026	181325
234	24131	181243
235	24234	181139
236	24330	180992
237	24432	180882
238	24541	180826
239	24636	180670
240	24768	180776
241	24892	180829
242	25005	180800
243	25108	180699
244	25217	180640
245	25323	180555
246	25405	180309
247	25508	180207
248	25622	180180
249	25709	179966
250	25814	179876
251	25926	179837
252	26031	179750
253	26159	179820
254	26291	179914
255	26395	179819
256	26490	179661
257	26579	179465
258	26684	179370
259	26798	179341
260	26911	179310
261	26995	179077
262	27107	179033
263	27208	178913
264	27308	178792
265	27420	178749
266	27527	178671
267	27651	178700
268	27730	178442
269	27817	178239
270	27923	178155
271	28022	178024
272	28121	177898
273	28224	177796
274	28322	177658
275	28430	177590
276	28527	177449
277	28608	177209
278	28714	177124
279	28827	177085
280	28930	176978
281	29044	176946
282	29158	176906
283	29256	176774
284	29363	176697
285	29451	176503
286	29543	176333
287	29647	176237
288	29777	176292
289	29860	176076
290	29967	175994
291	30074	175914
292	30196	175921
293	30281	175717
294	30370	175530
295	30450	175295
296	30526	175037
297	30618	174875
298	30704	174678
299	30812	174604
300	30913	174493
301	31011	174360
302	31116	174273
303	31239	174282
304	31328	174105
305	31430	173996
306	31531	173883
307	31636	173796
308	31716	173565
309	31822	173485
310	31937	173447
311	32061	173459
312	32166	173368
313	32262	173232
314	32365	173130
315	32455	172956
316	32555	172843
317	32654	172718
318	32766	172667
319	32867	172552
320	32982	172515
321	33091	172446
322	33183	172288
323	33268	172094
324	33367	171972
325	33475	171894
326	33577	171787
327	33693	171752
328	33785	171597
329	33881	171461
330	33958	171229
331	34064	171141
332	34150	170957
333	34274	170960
334	34401	170979
335	34524	170977
336	34633	170905
337	34730	170776
338	34809	170558
339	34890	170348
340	34995	170256
341	35098	170158
342	35205	170075
343	35320	170030
344	35415	169892
345	35505	169729
346	35608	169628
347	35712	169529
348	35805	169382
349	35892	169208
350	36019	169217
351	36117	169097
352	36230	169039
353	36331	168930
354	36430	168813
355	36537	168729
356	36626	168562
357	36724	168438
358	36809	168257
359	36913	168162
360	37010	168034
361	37094	167846
362	37187	167702
363	37272	167522
364	37368	167389
365	37457	167230
366	37554	167101
367	37648	166963
368	37750	166860
369	37835	166680
370	37929	166542
371	38023	166402
372	38117	166266
373	38232	166220
374	38318	166045
375	38422	165950
376	38532	165884
377	38644	165822
378	38742	165703
379	38839	165580
380	38946	165495
381	39039	165355
382	39162	165339
383	39243	165150
384	39339	165022
385	39446	164940
386	39543	164815
387	39641	164697
388	39749	164616
389	39834	164443
390	39941	164364
391	40027	164195
392	40128	164086
393	40232	163991
394	40358	163987
395	40457	163873
396	40553	163746
397	40656	163649
398	40732	163442
